id,category,feature,description,status,surface,syncthing_compat,implementation,verification,milestone,source,notes
bep-protobuf-codec,protocol,BEP message codec,Core shall encode and decode all Syncthing BEP message types from the vendored schema so a plain Syncthing peer can complete a session without a Syncpeer-specific protocol.,tracked,core,syncthing,packages/core/src/core/protocol/bep.ts,scripts/test-core-diagnostics.ts;scripts/test-syncpeer-peers.ts,,,Uses the unmodified vendored Syncthing bep.proto.
bep-framing,protocol,BEP framing and hello magic,Core shall frame BEP messages with Syncthing's checksum-magic hello and length-prefixed envelopes and shall parse them incrementally from a byte stream.,tracked,core,syncthing,packages/core/src/core/protocol/bep.ts,scripts/test-core-diagnostics.ts;scripts/test-syncpeer-peers.ts,,,Wire-compatible framing.
bep-lz4-receive,protocol,LZ4 message decompression,Core shall decompress LZ4-flagged incoming BEP messages; send-side compression is not required for interoperability.,implemented,core,syncthing,packages/core/src/core/protocol/bep.ts,,,,Send-side compression is not implemented; peers may still send LZ4.
version-vectors,protocol,Version vectors,"Core shall compare, merge and advance Syncthing version vectors, including concurrent detection and overflow rejection, so conflict decisions match peer expectations.",tracked,core,syncthing,packages/core/src/core/protocol/versionVector.ts,scripts/test-replica-index.ts;scripts/test-folder-sync.ts,,,Basis for conflict handling.
index-coalescing-queue,protocol,Index update coalescing,Core shall coalesce pending INDEX and INDEX_UPDATE frames by file name and keep bounded history for encrypted replicas so metadata churn cannot flood the wire.,tracked,core,syncthing,packages/core/src/core/protocol/indexQueue.ts,scripts/test-core-diagnostics.ts,,,Prevents metadata churn from flooding the wire.
cluster-config-exchange,protocol,Cluster config exchange,Core shall apply and acknowledge peer ClusterConfig and shall not declare a session ready before it arrives.,tracked,core,syncthing,packages/core/src/client.ts,scripts/test-core-diagnostics.ts;scripts/test-syncpeer-peers.ts,,,Required before index sync.
index-exchange,protocol,Index exchange,Core shall apply peer INDEX and INDEX_UPDATE frames into folder state and shall bootstrap a missing empty index when a folder opens.,tracked,core,syncthing,packages/core/src/client.ts,scripts/test-core-diagnostics.ts;scripts/test-folder-sync-integration.ts;scripts/test-local.ts,,,Real Syncthing integration covered by test-local.
block-request-response,protocol,Block Request/Response,"Core shall request file blocks by offset, size and hash and shall map peer response codes and timeouts to explicit transfer outcomes.",tracked,core,syncthing,packages/core/src/client.ts,scripts/test-syncpeer-peers.ts;scripts/test-local.ts,,,Core download primitive.
keepalive-close,protocol,Keepalive and close,"Core shall send periodic PINGs, enforce a receive timeout and exchange CLOSE frames with a propagated reason.",tracked,core,syncthing,packages/core/src/client.ts,scripts/test-core-diagnostics.ts;scripts/test-syncpeer-peers.ts,,,
max-block-size,protocol,Maximum block size,Core shall enforce Syncthing's 16 MiB maximum plaintext block size on ranges it requests and plans it publishes.,implemented,core,syncthing,packages/core/src/core/protocol/blockLimits.ts,,,,Guards malformed peers.
